	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
713	723	58	给	p	ADP	p	ADP		2	1	2	32	9.4	35.17157943567505	1	1222.0	给	9.4	0.0	35.17157943567505	0.0
714	724	58	我	r	PRON	r	PRON	PRP	1	1	1	79	18.066666666666663	67.59927678771588	1	5517.999999999999	我	18.066666666666663	0.0	67.59927678771588	0.0
715	725	58	画	v	VERB	n	VERB	VV	0	0	0	134	99.53333333333332	141.34207520134345	1	169.0	画	73.33333333333333	26.2	92.76038426445253	66.97880261694742
716	726	58	一	m	NUM	m	NUM	CD	1	2	3	1473	101.2	147.14083956083255	1	8489.0	一	101.2	0.0	147.14083956083255	0.0
717	727	58	只	q	DET	d	DET		2	1	3	57	70.13333333333334	112.75570446274055	1	985.0	只	56.6	13.533333333333331	81.8623234461373	50.63709663434067
718	728	58	绵羊	n	NOUN	ns	NOUN	NN	3	3	2	181	133.53333333333333	94.44212807616924	2	8.0	绵羊	127.26666666666668	6.266666666666667	88.65097605528973	23.447719623783367
719	729	58	吧……”	u	PART	y	PART		4	2	2	9	57.0	90.4846211610938	1	719.9999999999999	吧	42.93333333333333	14.066666666666666	62.644464151981445	52.63264724062012
720	730	59	当	p	ADP	t	ADP		13	4	2	160	62.06666666666667	125.87266934838908	1	884.0	当	36.333333333333336	25.73333333333333	60.86998895642708	79.09780162698722
721	731	59	某种	r	PRON	r	PRON		12	3	2	119	419.2	294.81908576843074	2	140.00000000000003	某种	204.6	122.53333333333332	123.03592971160904	138.6731729242859
722	732	59	神秘	a	ADJ	a	ADJ	JJ	11	2	2	584	268.6666666666667	322.7572186988576	2	51.00000000000001	神秘	100.6	76.2	98.41260081920404	100.38339836181412
723	733	59	的	u	PART	uj	PART		10	1	3	13	151.13333333333333	184.2258999766923	1	77946.0	的	101.33333333333331	45.333333333333336	117.16351347108404	74.31434735111533
724	734	59	感受	v	VERB	v	VERB		9	9	1	306	185.7333333333333	167.6776537155609	2	47.99999999999999	感受	135.8	49.93333333333333	99.38557910146388	99.11371695627648
725	735	59	把	p	ADP	p	ADP	BB	8	1	4	41	117.2	123.26621597177387	1	3113.0000000000005	把	101.73333333333332	15.466666666666669	99.59616235355432	57.87096758210362
726	736	59	我们	r	PRON	r	PRON		7	1	3	80	160.13333333333333	212.22468177748684	2	2807.0	我们	99.06666666666666	51.2	100.77332098438664	105.58674159192527
727	737	59	镇住	v	VERB	v	VERB	VV	6	2	2	182	308.06666666666666	131.0310226201753	2	0.0	镇住	187.9333333333333	116.0	87.77658508331757	96.37496217033411
728	738	59	的	u	PART	uj	PART		5	1	3	13	61.53333333333333	92.7978926963802	1	77946.0	的	61.53333333333333	0.0	92.7978926963802	0.0
729	739	59	时候，	n	NOUN	n	NOUN	NN	4	4	1	371	97.13333333333334	104.65745182366244	2	703.0000000000001	时候	86.66666666666667	10.466666666666669	93.16556349972998	39.16268064823392
730	740	59	我们	r	PRON	r	PRON		1	1	1	80	221.06666666666663	183.22353075471017	2	2807.0	我们	175.8	45.266666666666666	144.50291807895553	85.44274236131601
731	741	59	是	vl	VERB	v	VERB		0	0	0	29	86.13333333333334	136.65668256213775	1	12403.0	是	66.2	19.933333333333334	95.15194865757262	74.58370390969391
732	742	59	不	d	ADV	d	ADV	RB	1	1	2	1105	194.53333333333333	164.55915518607756	1	4915.0	不	156.6	37.93333333333333	111.67619859814953	100.86986115232284
733	743	59	敢	vu	AUX	v	AUX		2	2	1	22	223.8	173.98628298422457	1	64.0	敢	207.13333333333333	16.666666666666668	148.7283280197675	62.36095644623236
734	744	59	违抗	v	VERB	vn	VERB		3	1	2	220	172.33333333333334	154.9807156462449	2	0.0	违抗	131.73333333333332	40.6	116.77412194298682	69.78519422723801
735	745	59	的。	u	PART	uj	PART		4	4	1	13	76.4	121.37369292121473	1	77946.0	的	55.66666666666666	20.73333333333333	80.32821560461943	56.74324237788633
736	746	60	真	d	ADV	d	ADV	RB	1	1	1	231	93.73333333333332	128.29261691755903	1	597.0	真	78.66666666666667	15.066666666666666	102.4627845718738	56.37430462739405
737	747	60	不可思议。	i	X	i	ADV		0	0	0	1643	585.6	332.7677468345352	4	7.0	不可思议	297.1333333333333	179.93333333333334	149.6172301426395	165.00564300114775
