	WORD	SENTENCE	IA_LABEL	TOTAL_DURATION	STD_TOTAL_DURATION	n_in_sent	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
2279	2323	128	隻	175.4	235.71417720055223	21	NOUN	DET	x	DET	NNB	17	1	3	1	1	2023.87988	隻	118.53333333333332	50.13333333333333	123.96228817220538	148.49236418827138
2280	2324	128	綿羊	161.93333333333334	147.37682615964047	22	NOUN	NOUN	ns	NOUN	NN	18	1	2	18	2	2.48481	綿羊	111.06666666666666	41.13333333333333	96.97523166023144	69.56518925120204
2281	2325	128	仔。	31.53333333333333	55.9891259283642	23	X	X	zg	PART		19	19	1	126	1	833.2405	仔	31.53333333333333	0.0	55.9891259283642	0.0
2282	2326	128	佢	83.46666666666667	108.92558111950665	24	PRON	PRON	x	PRON		20	2	2	1	1	21111.38214	佢	68.13333333333334	15.333333333333334	76.87207266332524	57.37207993053376
2283	2327	128	想	77.6	111.59199493392586	25	AUX	AUX	v	AUX	MD	21	1	2	89	1	3200.02452	想	69.66666666666667	7.933333333333334	101.31776196150844	29.6838152684066
2284	2328	128	要	161.26666666666668	154.78004465118306	26	VERB	VERB	v	VERB		22	22	1	109	1	3311.42695	要	123.86666666666666	27.6	101.94891967167784	55.20362306950514
2285	2329	128	隻	159.46666666666667	196.76207855060773	27	NOUN	DET	x	DET	NNB	23	1	3	1	1	2023.87988	隻	114.53333333333332	38.2	125.41444184073148	79.65609413807167
2286	2330	128	綿羊，	82.46666666666667	126.22512516223632	28	NOUN	NOUN	ns	NOUN	NN	24	2	2	18	2	2.48481	綿羊	66.93333333333334	15.533333333333331	89.71099276132341	58.12041140788854
2287	2331	128	噉	148.8	246.50603778947607	29	CCONJ	CCONJ	zg	CCONJ		25	2	2	3	1	0.41414	噉	89.53333333333333	40.333333333333336	136.20223525658045	96.163518146032
2288	2332	128	就	87.0	150.99668870541498	30	ADV	ADV	d	ADV	RB	26	1	2	95	1	11876.16191	就	51.86666666666667	35.13333333333333	90.81620021902604	89.91615847863808
2289	2333	128	證明	365.73333333333335	227.7245314458287	31	VERB	VERB	n	VERB	VV	27	27	1	64	2	52.18106	證明	227.06666666666663	116.33333333333331	165.74577588047975	118.99673198127006
2290	2334	128	佢	146.93333333333334	151.27082409447706	32	PRON	PRON	x	PRON		28	1	3	1	1	21111.38214	佢	118.6	28.33333333333333	103.06683915466375	73.80846082183864
2291	2335	128	存在	173.06666666666666	216.668246148089	33	VERB	VERB	v	VERB	VV	29	2	2	29	2	150.7453	存在	111.73333333333332	32.06666666666667	105.9260538719766	66.61477980815437
2292	2336	128	啦！」	55.0	76.48616432619256	34	NOUN	NOUN	y	NOUN		30	1	3	4	1	6683.31767	啦	55.0	0.0	76.48616432619256	0.0
2293	2337	129	佢哋	216.06666666666663	89.94403198038705	0	PRON	PRON	-	PRON		3	0	2	2	2	0.0	佢哋	169.53333333333333	46.53333333333333	54.03439234002318	71.6862298880026
2294	2338	129	一定	57.8	121.20847055108536	1	ADV	ADV	d	ADV	RB	2	2	1	909	2	908.19901	一定	41.8	16.0	84.83568431581921	59.86651818838306
2295	2339	129	會	23.866666666666667	62.49252399731951	2	AUX	AUX	zg	AUX	MD	1	1	1	177	1	4200.1616	會	16.333333333333332	7.533333333333333	42.129430198958175	28.187152313697023
2296	2340	129	聳聳	310.8	189.5546359232609	3	VERB	VERB	-	VERB	VV	0	0	0	8	2	0.0	聳聳	225.13333333333333	85.66666666666667	126.6885244298876	136.7175515026834
2297	2341	129	個	70.4	127.42045884917124	4	NOUN	DET	zg	DET	NNB	1	1	2	175	1	6956.23292	個	58.2	12.2	101.49824300613945	45.64822011864209
