	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
4029	4085	226	？	PUNCT	PUNCT	x	PUNCT	.	54	1	10	0	106.4	147.07268044519122	0.1936648488044738	8.266165733337402	0	0.0	0.4161073825503356	149	4063.91104	1	False	False	86.46666666666667	19.933333333333334	113.03678850513911	74.58370390969391
4030	4086	226	唔通	ADV	ADV	-	ADV		55	6	9	96	144.06666666666666	149.95131061633157	3.517376840114593	12.72330617904663	2	305.63195	0.4228187919463087	149	0.0	0	False	False	131.0	13.066666666666666	135.5369568297395	48.89098985384618
4031	4087	226	呢	PART	PRON	y	PRON		56	2	11	14	123.66666666666669	113.54627054886282	8.177103996276855	8.604572296142578	1	5998.7518	0.4295302013422818	149	305.63195	2	False	False	113.53333333333332	10.133333333333333	102.5351105177582	37.91546151930927
4032	4088	226	啲	NOUN	DET	zg	DET		57	1	11	1	140.86666666666667	162.92815049039936	0.0722739845514297	1.6637436151504517	1	4209.68671	0.436241610738255	149	5998.7518	1	False	False	108.4	32.46666666666667	104.55990308590256	72.17835932989583
4033	4089	226	嘢	NOUN	NOUN	x	NOUN		58	1	10	1	102.46666666666668	98.49525651296896	4.676528930664063	3.932530403137207	1	1566.67436	0.4429530201342282	149	4209.68671	1	False	False	102.46666666666668	0.0	98.49525651296896	0.0
4034	4090	226	真係	ADV	ADV	-	ADV		59	2	9	60	251.06666666666663	286.84361980393123	8.550747133791447	10.205689877271652	2	3320.53793	0.4496644295302013	149	1566.67436	1	False	False	142.33333333333334	35.2	93.40639997107029	65.15233431479388
4035	4091	226	唔	ADV	ADV	y	ADV		60	1	9	45	139.0	172.57693936328803	2.1977126598358154	4.649868011474609	1	13258.13186	0.4563758389261745	149	3320.53793	2	False	False	110.33333333333331	21.53333333333333	130.63009692342047	55.008928568208106
4036	4092	226	比	VERB	VERB	p	VERB		61	10	8	164	106.0	148.9263800227034	11.041881561279297	11.50500774383545	1	2017.25371	0.4630872483221476	149	13258.13186	1	False	False	83.33333333333333	22.666666666666668	113.08384303496037	60.94332522014933
4037	4093	226	一	NUM	NUM	m	NUM	CD	62	1	10	871	114.53333333333332	149.50400960806667	9.978668212890623	5.558975696563721	1	4153.77843	0.4697986577181208	149	2017.25371	1	False	False	98.13333333333334	16.4	130.9472497696008	61.36318114309263
4038	4094	226	個	NOUN	DET	zg	DET	NNB	63	7	9	175	71.4	162.6406263309796	4.98497486114502	1.8332937955856323	1	6956.23292	0.4765100671140939	149	4153.77843	1	False	False	52.333333333333336	19.066666666666663	117.77360579613	48.6983458537237
4039	4095	226	滿面	NOUN	NOUN	n	NOUN	NN	64	1	10	134	274.4	220.7235978926283	21.176039695739743	19.77593040466309	2	10.35339	0.4832214765100671	149	6956.23292	1	False	False	164.86666666666667	74.93333333333334	95.57954220903598	115.48706517278124
4040	4096	226	通紅	ADJ	ADJ	nr	ADJ	JJ	65	5	9	124	244.0	262.22026364616954	24.965155601501465	25.38296413421631	2	9.52512	0.4899328859060403	149	10.35339	2	False	False	136.33333333333334	49.46666666666667	112.840693999205	83.8751982941852
4041	4097	226	嘅	PART	PART	x	PART		66	1	10	1	81.93333333333334	115.0677867848146	5.67241096496582	2.166506767272949	1	15735.49004	0.4966442953020134	149	9.52512	2	False	False	69.6	12.333333333333334	88.85103638487661	46.14710777021193
